run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,aliquot,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR10084781,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817844,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361406,,PRJNA564397,Illumina HiSeq 3000,3243420900,Homo sapiens,fecal sample,India,21.14 N 79.08 E,78,,,Host human
SRR10084782,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817843,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361405,,PRJNA564397,Illumina HiSeq 3000,3187082100,Homo sapiens,fecal sample,India,21.14 N 79.08 E,77,,,Host human
SRR10084783,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817842,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361404,,PRJNA564397,Illumina HiSeq 3000,2821785900,Homo sapiens,fecal sample,India,21.14 N 79.08 E,76,,,Host human
SRR10084784,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817841,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361403,,PRJNA564397,Illumina HiSeq 3000,3079162800,Homo sapiens,fecal sample,India,21.14 N 79.08 E,74,,,Host human
SRR10084785,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817840,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361402,,PRJNA564397,Illumina HiSeq 3000,3075020400,Homo sapiens,fecal sample,India,21.14 N 79.08 E,73,,,Host human
SRR10084786,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817839,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361401,,PRJNA564397,Illumina HiSeq 3000,2822500500,Homo sapiens,fecal sample,India,21.14 N 79.08 E,72,,,Host human
SRR10084787,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817838,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361400,,PRJNA564397,Illumina HiSeq 3000,2615242500,Homo sapiens,fecal sample,India,21.14 N 79.08 E,8,,,Host human
SRR10084788,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817837,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361399,,PRJNA564397,Illumina HiSeq 3000,3442821000,Homo sapiens,fecal sample,India,21.14 N 79.08 E,71,,,Host human
SRR10084789,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817836,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361398,,PRJNA564397,Illumina HiSeq 3000,3355574700,Homo sapiens,fecal sample,India,21.14 N 79.08 E,70,,,Host human
SRR10084790,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817835,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361397,,PRJNA564397,Illumina HiSeq 3000,3245429400,Homo sapiens,fecal sample,India,21.14 N 79.08 E,69,,,Host human
SRR10084791,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817834,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361396,,PRJNA564397,Illumina HiSeq 3000,3178116900,Homo sapiens,fecal sample,India,21.14 N 79.08 E,68,,,Host human
SRR10084792,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817833,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361395,,PRJNA564397,Illumina HiSeq 3000,3588768600,Homo sapiens,fecal sample,India,21.14 N 79.08 E,67,,,Host human
SRR10084793,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817832,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361394,,PRJNA564397,Illumina HiSeq 3000,3134607900,Homo sapiens,fecal sample,India,21.14 N 79.08 E,66,,,Host human
SRR10084794,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817831,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361393,,PRJNA564397,Illumina HiSeq 3000,3186881100,Homo sapiens,fecal sample,India,21.14 N 79.08 E,65,,,Host human
SRR10084795,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817830,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361392,,PRJNA564397,Illumina HiSeq 3000,3029889300,Homo sapiens,fecal sample,India,21.14 N 79.08 E,64,,,Host human
SRR10084796,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817829,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361391,,PRJNA564397,Illumina HiSeq 3000,2867746200,Homo sapiens,fecal sample,India,21.14 N 79.08 E,63,,,Host human
SRR10084797,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817828,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361390,,PRJNA564397,Illumina HiSeq 3000,3082299600,Homo sapiens,fecal sample,India,21.14 N 79.08 E,62,,,Host human
SRR10084798,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817827,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361389,,PRJNA564397,Illumina HiSeq 3000,2673995700,Homo sapiens,fecal sample,India,21.14 N 79.08 E,7,,,Host human
SRR10084799,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817826,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361388,,PRJNA564397,Illumina HiSeq 3000,3067856100,Homo sapiens,fecal sample,India,21.14 N 79.08 E,61,,,Host human
SRR10084800,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817825,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361387,,PRJNA564397,Illumina HiSeq 3000,2954079000,Homo sapiens,fecal sample,India,21.14 N 79.08 E,60,,,Host human
SRR10084801,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817824,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361386,,PRJNA564397,Illumina HiSeq 3000,3033805500,Homo sapiens,fecal sample,India,21.14 N 79.08 E,59,,,Host human
SRR10084802,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817823,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361385,,PRJNA564397,Illumina HiSeq 3000,3017086800,Homo sapiens,fecal sample,India,21.14 N 79.08 E,58,,,Host human
SRR10084803,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817822,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361384,,PRJNA564397,Illumina HiSeq 3000,3017941500,Homo sapiens,fecal sample,India,21.14 N 79.08 E,57,,,Host human
SRR10084804,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817821,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361383,,PRJNA564397,Illumina HiSeq 3000,3082252200,Homo sapiens,fecal sample,India,21.14 N 79.08 E,56,,,Host human
